번호,기간,고급휘발유,휘발유,경유,실내등유
A0004095,20260629,0,1914,1955,0
A0010055,20260629,0,2035,2025,1700
A0004141,20260629,0,1894,1887,0
A0003616,20260629,0,1856,1843,0
A0004149,20260629,0,1945,1925,0
A0003637,20260629,2495,1975,1975,1700
A0007151,20260629,0,1898,1898,0
A0011938,20260629,0,1925,1925,0
A0033083,20260629,0,1899,1889,0
A0033084,20260629,0,1899,1889,0
A0003585,20260629,0,1955,1925,1600
A0003794,20260629,0,1998,1998,1750
A0007327,20260629,2425,1976,1967,1600
A0003680,20260629,2389,2012,1996,1680
A0011932,20260629,0,1995,1989,1700
A0004041,20260629,0,1995,1989,1700
A0011926,20260629,0,1898,1898,0
A0003981,20260629,0,1924,1924,0
A0005644,20260629,0,1985,1975,0
A0004206,20260629,2415,1985,1975,0
A0003469,20260629,0,1925,1925,0
A0003778,20260629,0,2016,2016,0
A0025546,20260629,0,1964,1967,1630
A0011923,20260629,0,1995,2005,0
A0004038,20260629,0,1998,1998,1600
A0003912,20260629,2395,1935,1935,1600
A0003627,20260629,2499,2049,2039,1700
A0003673,20260629,0,1976,1967,1580
A0004203,20260629,0,1975,1975,0
A0003509,20260629,2405,1955,1955,0
A0003983,20260629,2455,1975,1975,0
A0004082,20260629,0,1899,1899,0
A0003444,20260629,2455,1975,1975,1600
A0003982,20260629,2298,1924,1955,0
A0003559,20260629,2455,1965,1955,0
A0003911,20260629,2455,1925,1925,0
A0003642,20260629,0,1975,1965,1700
A0003460,20260629,0,1926,1925,1600
A0003736,20260629,0,1993,1983,1650
A0021067,20260629,0,1995,1995,1700
A0011937,20260629,0,1976,1964,0
A0003947,20260629,0,2189,2199,1750
A0003955,20260629,0,2013,1975,0
A0009055,20260629,0,1995,1995,0
A0002110,20260629,0,1979,1925,0
A0011933,20260629,0,1975,1975,0
A0003587,20260629,0,1988,1960,0
A0003868,20260629,0,2026,2019,0
A0004040,20260629,0,1979,1964,1850
A0003655,20260629,2440,1975,1965,1700
A0010024,20260629,0,2065,2055,1700
A0003698,20260629,0,2012,1996,1700
A0003465,20260629,0,1926,1925,1710
A0003799,20260629,0,1985,1975,0
A0004039,20260629,0,1995,1995,1800
A0003589,20260629,0,2058,2048,0
A0003586,20260629,0,1897,1942,0
A0003593,20260629,2396,1970,1956,0
A0011930,20260629,0,1925,1925,0
A0004072,20260629,2465,1994,1970,0
A0003452,20260629,2465,1995,1985,1750
A0009244,20260629,0,1859,1859,0
A0006457,20260629,2324,1920,1903,0
A0006567,20260629,2324,1923,1903,0
A0006752,20260629,2349,1924,1903,0
A0006767,20260629,2389,1873,1810,1500
A0006736,20260629,0,1998,1967,0
A0006301,20260629,0,1988,1974,0
A0006308,20260629,0,1873,1873,0
A0033432,20260629,0,1864,1996,0
A0033119,20260629,0,1864,1996,0
A0006729,20260629,0,1873,1873,0
A0007117,20260629,0,1879,1869,1650
A0006733,20260629,0,2005,1977,1600
A0006625,20260629,2395,1945,1945,0
A0006806,20260629,2269,1879,1869,0
