번호,지역,상호,주소,기간,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0008291,경기 시흥시,목감IC주유소,경기 시흥시 동서로 1200 (목감동),20260629,SK에너지,셀프,0,1978,1958,0
A0033137,경기 시흥시,목감행복주유소,경기 시흥시 목감우회로 9 (조남동),20260629,GS칼텍스,셀프,0,1898,1878,0
A0009185,경기 시흥시,무지내주유소,경기 시흥시  금오로 144 (무지내동),20260629,알뜰주유소,셀프,0,1834,1823,0
A0008401,경기 시흥시,보금자리주유소,경기 시흥시 금오로 94,20260629,HD현대오일뱅크,일반,0,1977,1827,0
A0006970,경기 시흥시,부광석유㈜ 역전주유소,경기 시흥시 역전로 295,20260629,S-OIL,일반,0,1898,1898,0
A0008406,경기 시흥시,삼미상사(주) 시흥IC셀프주유소,경기 시흥시 소사로 49 (계수동),20260629,SK에너지,셀프,0,1898,1877,0
A0001160,경기 시흥시,삼성주유소,경기 시흥시 금오로 269 (과림동),20260629,SK에너지,셀프,0,1843,1823,0
A0010054,경기 시흥시,삼우에너지 4289주유소,경기 시흥시 군자로 247,20260629,GS칼텍스,일반,0,2034,2023,1650
A0008425,경기 시흥시,상천네트워크㈜ 시흥풀페이주유소,경기 시흥시 서해안로 1317 (방산동),20260629,S-OIL,셀프,0,1867,1846,0
A0008298,경기 시흥시,샘터주유소,경기 시흥시 범안로 336 (계수동),20260629,HD현대오일뱅크,셀프,0,1907,1957,0
A0008302,경기 시흥시,서해주유소,경기 시흥시  봉화로 325,20260629,SK에너지,셀프,0,1865,1887,0
A0008351,경기 시흥시,슈퍼맨주유소,경기 시흥시 군자로 380,20260629,S-OIL,셀프,0,1857,1848,0
A0021796,경기 시흥시,스케치주유소,경기 시흥시 동서로 895-1,20260629,S-OIL,셀프,2398,1898,1875,1600
A0008312,경기 시흥시,승원주유소,경기 시흥시 서해안로 1081,20260629,SK에너지,셀프,0,1884,1873,0
A0008287,경기 시흥시,시화대성주유소,경기 시흥시 정왕신길로 180,20260629,GS칼텍스,셀프,0,1998,1998,1600
A0006878,경기 시흥시,시흥까치주유소,경기 시흥시 서해안로 1418,20260629,GS칼텍스,셀프,2295,1895,1875,0
A0007062,경기 시흥시,시흥버스터미널㈜,경기 시흥시 옥구공원로 225 (정왕동),20260629,S-OIL,셀프,2369,1889,1889,1595
A0019284,경기 시흥시,시흥버스터미널㈜ 월곶점,경기 시흥시 서해안로 804-1,20260629,GS칼텍스,셀프,0,1965,1879,0
A0006860,경기 시흥시,시흥주유소,경기 시흥시 시흥대로 1049,20260629,알뜰주유소,일반,0,1849,1838,0
A0033229,경기 시흥시,시흥하늘주유소(일산방향),경기 시흥시 수도권제1순환고속도로 105-1,20260629,SK에너지,셀프,2419,1949,1894,0
A0033228,경기 시흥시,시흥하늘주유소(판교방향),경기 시흥시 수도권제1순환고속도로 106,20260629,SK에너지,셀프,2419,1949,1894,0
A0008274,경기 시흥시,신만해주유소 만해유업㈜시흥지점,경기 시흥시 금화로 204,20260629,SK에너지,셀프,0,1898,1878,0
A0006862,경기 시흥시,안현주유소,경기 시흥시 수인로 3105 (안현동),20260629,S-OIL,셀프,2300,1865,1848,0
A0001093,경기 시흥시,영광셀프주유소,경기 시흥시 시흥대로 869 (미산동),20260629,S-OIL,셀프,0,1919,1919,1700
A0008436,경기 시흥시,우리주유소,경기 시흥시 황고개로 311 (군자동),20260629,알뜰주유소,셀프,2397,1857,1848,0
A0008337,경기 시흥시,장연주유소,경기 시흥시 동서로 633 (광석동),20260629,GS칼텍스,일반,0,1898,1878,0
A0008288,경기 시흥시,제일self주유소,경기 시흥시 서해안로 602 (정왕동),20260629,SK에너지,셀프,0,1867,1839,0
A0006864,경기 시흥시,조남주유소,경기 시흥시 수인로 2099 (조남동),20260629,GS칼텍스,일반,0,1938,1938,0
A0001901,경기 시흥시,주식회사 기정에너지,경기 시흥시 수인로 3471 (신천동),20260629,GS칼텍스,셀프,2293,1849,1838,0
A0007111,경기 시흥시,주식회사현대석유,경기 시흥시 금화로 411 (물왕동),20260629,HD현대오일뱅크,일반,0,1967,1947,0
A0008278,경기 시흥시,주유할인마트,경기 시흥시 수인로 2648 (금이동),20260629,알뜰주유소,일반,0,1865,1847,0
A0008432,경기 시흥시,지에스칼텍스㈜ 시화공단주유소,경기 시흥시 공단1대로 256,20260629,GS칼텍스,셀프,2500,1895,1899,1874
A0008427,경기 시흥시,지에스칼텍스㈜ 시화신도시주유소,경기 시흥시 마유로 316 (정왕동),20260629,GS칼텍스,셀프,2460,1895,1899,1600
A0006846,경기 시흥시,포동주유소,경기 시흥시 시흥대로789번길 3 (포동),20260629,GS칼텍스,셀프,0,1979,1969,0
A0033660,경기 시흥시,플러스주유소,경기 시흥시 황고개로 520,20260629,S-OIL,셀프,0,1917,1917,0
A0007651,경기 시흥시,하우고개주유소,경기 시흥시 하우로 26-1 (대야동),20260629,HD현대오일뱅크,셀프,0,1884,1873,1500
A0008357,경기 시흥시,해승주유소,경기 시흥시 서해안로 1048,20260629,SK에너지,셀프,0,1867,1857,0
A0033243,경기 시흥시,효창에너지직영 5주유소,경기 시흥시 동서로 996,20260629,SK에너지,셀프,2398,1898,1878,0
A0007063,경기 안산시,(주)대지석유 산업주유소,경기 안산시 단원구 동산로 42,20260629,S-OIL,셀프,2428,1989,1989,1698
A0007114,경기 안산시,(주)대한석유 한대역주유소,경기 안산시 상록구 광덕4로 357 (이동),20260629,SK에너지,셀프,2425,1895,1895,1550
A0007124,경기 안산시,(주)동강석유 남안산IC주유소,경기 안산시 단원구 성곡로 279 (신길동),20260629,S-OIL,셀프,0,1968,1968,0
A0007026,경기 안산시,(주)동원석유 행복주유소,경기 안산시 상록구 수인로 1820 (부곡동),20260629,SK에너지,셀프,0,1938,1938,0
A0033357,경기 안산시,(주)북고개주유소,경기 안산시 상록구 수인로 1177,20260629,HD현대오일뱅크,셀프,0,1988,1958,0
A0007050,경기 안산시,(주)삼정주유소,경기 안산시 단원구 삼일로 122 (원곡동),20260629,HD현대오일뱅크,셀프,2548,1978,1968,1748
A0007084,경기 안산시,(주)서율주유소 안산,경기 안산시 상록구 해안로 1295 (팔곡이동),20260629,HD현대오일뱅크,셀프,2448,1934,1934,0
A0007108,경기 안산시,(주)성홍 안산터미널주유소,경기 안산시 상록구 충장로 431,20260629,S-OIL,일반,0,1969,1959,1450
A0007121,경기 안산시,(주)세화주유소,경기 안산시 단원구 대부중앙로 174 (대부동동),20260629,S-OIL,셀프,0,2029,2025,1600
A0006944,경기 안산시,(주)엠오티이엔지 직영 서해주유소,경기 안산시 단원구 시흥대로 10 (선부동),20260629,S-OIL,셀프,0,2028,2028,0
A0007105,경기 안산시,(주)유카스에너지 시우로주유소,경기 안산시 단원구 시우로 46,20260629,SK에너지,셀프,0,1894,1884,0
A0007027,경기 안산시,(주)이든 내주유소,경기 안산시 단원구 중앙대로 391,20260629,S-OIL,셀프,2438,2038,2028,1780
A0007089,경기 안산시,HD현대오일뱅크㈜직영 반월셀프주유소,경기 안산시 상록구 수인로 1226 (일동),20260629,HD현대오일뱅크,셀프,2347,1959,1953,1595
A0006983,경기 안산시,HD현대오일뱅크㈜직영 사사동주유소,경기 안산시 상록구 서해로 2838,20260629,HD현대오일뱅크,일반,0,1959,1952,0
A0007086,경기 안산시,HD현대오일뱅크㈜직영 신도시셀프주유소,경기 안산시 상록구 예술광장1로 18,20260629,HD현대오일뱅크,셀프,2358,1935,1935,0
A0007091,경기 안산시,HD현대오일뱅크㈜직영 안산공원셀프주유소,경기 안산시 단원구  광덕1로 268 (고잔동),20260629,HD현대오일뱅크,셀프,2347,1938,1902,0
A0025925,경기 안산시,HD현대오일뱅크㈜직영 한양현대주유소,경기 안산시 단원구  화정천서로 507 (선부3동),20260629,HD현대오일뱅크,일반,2394,1934,1924,1595
A0033314,경기 안산시,MTV스마트주유소,경기도 안산시 단원구 시화호수로841번길 4,20260629,GS칼텍스,셀프,0,2099,2099,1850
A0007080,경기 안산시,SK에너지(주)시화공단주유소,경기 안산시 단원구 번영로 109 (성곡동),20260629,SK에너지,일반,2459,1869,1809,1539
A0007034,경기 안산시,㈜소모 안산하이웨이주유소,경기 안산시 상록구 안산천서로 263,20260629,GS칼텍스,셀프,2405,1895,1895,0
A0006996,경기 안산시,㈜정도인더스트리,경기 안산시 단원구 정왕대로 424,20260629,S-OIL,셀프,0,1898,1888,1550
A0006899,경기 안산시,고속주유소,경기 안산시 상록구 가루개로 143 (양상동),20260629,S-OIL,셀프,0,1935,1953,0
A0008481,경기 안산시,고속주유소,경기 안산시 상록구 석호로 367,20260629,알뜰주유소,셀프,0,1890,1872,0
A0007081,경기 안산시,고잔주유소,경기 안산시 단원구 적금로 114,20260629,SK에너지,셀프,0,1978,1978,1549
A0007039,경기 안산시,다복주유소,경기 안산시 단원구 시흥대로 128 (선부동),20260629,GS칼텍스,일반,2403,1892,1889,0
A0007123,경기 안산시,대부그린주유소,경기 안산시 단원구 대부황금로 691 (대부동동),20260629,GS칼텍스,일반,0,2007,1987,1600
A0007025,경기 안산시,대부주유소,경기 안산시 단원구 대부황금로 835 (대부동동),20260629,SK에너지,일반,0,1986,1966,1600
A0007004,경기 안산시,대상주유소,경기 안산시 단원구 순환로 157 (선부동),20260629,GS칼텍스,일반,0,1958,1958,1600
A0007103,경기 안산시,대성산업(주)안산공단주유소,경기 안산시 단원구 산단로 313,20260629,GS칼텍스,일반,2425,1994,1994,1600
A0007046,경기 안산시,대지석유 선부주유소,경기 안산시 단원구 선부로 81 (선부동),20260629,S-OIL,셀프,0,1989,1989,0
A0007106,경기 안산시,도금단지주유소,경기 안산시 상록구 용담로 75 (팔곡이동),20260629,HD현대오일뱅크,일반,0,2067,2067,0
A0006852,경기 안산시,동해주유소,경기 안산시 상록구 선진6길 38 (사동),20260629,GS칼텍스,일반,2496,2032,2032,0
A0006917,경기 안산시,동현주유소,경기 안산시 단원구 대선로 237,20260629,HD현대오일뱅크,일반,0,2028,1998,1600
A0007054,경기 안산시,만해유업㈜ 만해주유소,경기 안산시 단원구 만해로 92,20260629,SK에너지,셀프,0,2017,1997,1800
A0006898,경기 안산시,보령주유소,경기 안산시 상록구 용담로 188 (팔곡이동),20260629,SK에너지,일반,0,1995,1994,1695
A0007064,경기 안산시,본오주유소,경기 안산시 상록구 석호로 369 (본오동),20260629,SK에너지,셀프,0,1958,1958,0
A0007014,경기 안산시,사동셀프주유소,경기 안산시 상록구 선진로 11 (사동),20260629,SK에너지,셀프,2430,1935,1935,1700
A0006977,경기 안산시,사동주유소,경기 안산시 상록구 항가울로 22 (사동),20260629,알뜰주유소,셀프,0,1935,1935,0
A0007045,경기 안산시,삼원주유소,경기 안산시 단원구 목내로 45,20260629,GS칼텍스,셀프,0,2035,2025,1780
A0007122,경기 안산시,상록수주유소(주),경기 안산시 상록구 이호로 53 (본오동),20260629,HD현대오일뱅크,일반,0,1895,1894,1695
A0006936,경기 안산시,상림주유소,경기 안산시 상록구 서해로 2921,20260629,SK에너지,셀프,0,1999,1999,0
A0006894,경기 안산시,서안산IC주유소,경기 안산시 단원구 중앙대로 224 (신길동),20260629,GS칼텍스,셀프,2380,1938,1928,1700
A0006973,경기 안산시,서안산주유소,경기 안산시 단원구 시흥대로 65,20260629,S-OIL,일반,0,1999,1989,0
A0006908,경기 안산시,세광주유소,경기 안산시 상록구 성호로 268 (부곡동),20260629,GS칼텍스,셀프,0,1917,1917,0
A0007051,경기 안산시,세방주유소,경기 안산시 상록구 성호로 40 (일동),20260629,GS칼텍스,일반,0,2157,2058,0
A0007066,경기 안산시,소망주유소,경기 안산시 상록구 석호로 202 (사동),20260629,S-OIL,일반,0,1895,1895,0
A0006903,경기 안산시,수암주유소,경기 안산시 상록구 원당골1길 23-14 (수암동),20260629,SK에너지,셀프,0,1938,1938,1800
A0006922,경기 안산시,스마트허브주유소,경기 안산시 단원구 해봉로 204 (성곡동),20260629,GS칼텍스,셀프,0,1999,1999,1700
A0006997,경기 안산시,시화주유소,경기 안산시 단원구 대부황금로 1435 (대부북동),20260629,HD현대오일뱅크,일반,0,2049,2039,0
A0001169,경기 안산시,신길중앙주유소,경기 안산시 단원구 삼일로 57 (신길동),20260629,HD현대오일뱅크,셀프,0,1958,1948,0
A0006889,경기 안산시,신안산주유소,경기 안산시 단원구 고잔로 86 (고잔동),20260629,SK에너지,셀프,0,1968,1968,0
A0007013,경기 안산시,신양주유소,경기 안산시 상록구 월피로 84,20260629,SK에너지,셀프,0,1899,1899,0
A0001888,경기 안산시,씨앤에스유통㈜구도일주유소 신반월,경기 안산시 상록구 건건1길 7 (건건동),20260629,S-OIL,셀프,0,1998,1968,0
A0006937,경기 안산시,안산고속주유소,경기 안산시 상록구 가루개로 56 (양상동),20260629,HD현대오일뱅크,일반,0,2018,2018,0
A0033634,경기 안산시,안산주유소(강릉방향),경기 안산시 단원구 영동고속도로 15,20260629,SK에너지,일반,0,1914,1894,0
A0033633,경기 안산시,안산주유소(인천방향),경기 안산시 단원구 영동고속도로 15,20260629,SK에너지,일반,0,1919,1899,0
A0006912,경기 안산시,용담주유소,경기 안산시 상록구 해안로 1363,20260629,SK에너지,셀프,0,1938,1938,1670
A0006911,경기 안산시,자연주유소,경기 안산시 상록구 해안로 1172,20260629,HD현대오일뱅크,셀프,0,1935,1935,0
A0001560,경기 안산시,작전주유소,경기 안산시 단원구 대부황금로 780 (대부동동),20260629,HD현대오일뱅크,일반,0,1985,1975,1600
A0006989,경기 안산시,장하주유소,경기 안산시 상록구 장하로 88,20260629,SK에너지,일반,0,1998,1998,0
A0006906,경기 안산시,정진주유소,경기 안산시 단원구 대남로 52 (대부북동),20260629,HD현대오일뱅크,일반,0,2029,1999,0
A0007096,경기 안산시,제이원네트웍스(주) 해안주유소,경기 안산시 상록구 선진6길 8,20260629,SK에너지,셀프,0,1895,1895,0
A0006956,경기 안산시,준오토조이(주) 성우주유소,경기 안산시 상록구  안산천서로 277,20260629,SK에너지,셀프,0,1895,1895,0
A0007048,경기 안산시,지에스칼텍스(주)국도주유소,경기 안산시 상록구 수인로 647 (사사동),20260629,GS칼텍스,셀프,2447,1902,1910,0
A0007041,경기 안산시,지에스칼텍스(주)안산스타주유소,경기 안산시 단원구 달미로 72,20260629,GS칼텍스,셀프,2441,1895,1899,1750
A0011355,경기 안산시,초지스타주유소,경기 안산시 단원구 초지로 106 (초지동),20260629,GS칼텍스,셀프,2538,1999,1998,0
A0007028,경기 안산시,케이비원대부도주유소,경기 안산시 단원구 대선로 489 (대부남동),20260629,SK에너지,일반,0,2055,2035,0
A0007079,경기 안산시,태하셀프주유소,경기 안산시 상록구 수인로 1917,20260629,SK에너지,셀프,0,1938,1938,0
A0007109,경기 안산시,한길주유소 안산점 한솔유화㈜,경기 안산시 상록구 서해로 2691 (사사동),20260629,HD현대오일뱅크,셀프,0,1894,1894,0
A0007065,경기 안산시,히어로주유소,경기 안산시 단원구 순환로 375 (와동),20260629,HD현대오일뱅크,셀프,0,1968,1958,0
A0003432,경기 안성시,(주)경기에너지,경기 안성시 안성맞춤대로 862,20260629,알뜰주유소,셀프,0,1856,1847,0
A0002974,경기 안성시,(주)남안성I.C셀프주유소,경기 안성시 미양면 제2공단2길 100,20260629,SK에너지,셀프,0,1983,1997,1650
A0010210,경기 안성시,(주)서원 안성맞춤(평택)주유소/충전소,경기 안성시 서운면 평택제천고속도로 41,20260629,알뜰(ex),셀프,0,1989,1987,0
A0003424,경기 안성시,(주)우진에너지주유소/충전소,경기 안성시 안성맞춤대로 621,20260629,SK에너지,셀프,0,1983,1997,1650
A0002829,경기 안성시,(주)유공 칠성주유소,경기 안성시 보개면 보개원삼로 1144,20260629,SK에너지,일반,0,2038,2038,1650
A0008829,경기 안성시,(주)이엘에스 양변주유소/충전소,경기 안성시 미양면 211-0,20260629,HD현대오일뱅크,셀프,0,1998,1863,1698
A0006992,경기 안성시,(주)진성에너지 안성맞춤셀프주유소,경기 안성시 안성맞춤대로 1253 (당왕동),20260629,GS칼텍스,셀프,2320,1865,1858,1650
A0010999,경기 안성시,(주)케이엘페트로 안성지점 VIP주유소,경기 안성시 안성맞춤대로 865,20260629,GS칼텍스,셀프,0,1975,1965,0
A0015765,경기 안성시,(주)태영에너지 안성점,경기 안성시 일죽면 일생로 362,20260629,S-OIL,셀프,0,2034,2024,1650
A0003256,경기 안성시,(주)태현주유소,경기도 안성시 대덕면 안성대로 1539,20260629,HD현대오일뱅크,셀프,0,1879,1859,1550
A0003298,경기 안성시,(주)파인코리아직영대명주유소,경기 안성시 공도읍 서동대로 4298,20260629,HD현대오일뱅크,셀프,0,1983,1979,0
A0003295,경기 안성시,(주)필앤유오케이주유소,경기 안성시 안성맞춤대로 822 (계동),20260629,SK에너지,일반,0,2065,2065,1650
A0003161,경기 안성시,CJ대한통운㈜ 광장주유소,경기 안성시 일죽면 서동대로 7184,20260629,S-OIL,셀프,0,1999,1999,0
A0002824,경기 안성시,KC네트웍스,경기 안성시 공도읍 공도로 120,20260629,알뜰주유소,셀프,2350,1890,1895,0
A0004363,경기 안성시,SB새벽주유소,경기 안성시 원곡면 청원로 1815,20260629,GS칼텍스,셀프,2455,1895,1893,1600
A0010209,경기 안성시,YM21유통㈜안성맞춤(제천)주유소,경기 안성시 서운면 평택제천고속도로 40,20260629,알뜰(ex),셀프,0,1940,1960,0
A0033814,경기 안성시,㈜고삼하이파크 고삼(세종)주유소,경기 안성시 고삼면 삼은리 산15-9,20260629,알뜰(ex),셀프,2399,1969,1979,0
A0033813,경기 안성시,㈜고삼하이파크 고삼(포천)주유소,경기 안성시 고삼면 삼은리 산15-9,20260629,알뜰(ex),셀프,2399,1969,1979,0
A0003386,경기 안성시,㈜두한 동안성주유소,경기 안성시 삼죽면 서동대로 6034,20260629,S-OIL,셀프,0,1998,1998,0
A0003327,경기 안성시,㈜선문에너지 안성TG셀프주유소,경기 안성시 공도읍 서동대로 3986,20260629,HD현대오일뱅크,셀프,2438,1989,2038,0
A0003412,경기 안성시,㈜소모 칠곡주유소,경기 안성시 원곡면 남북대로 1201-4,20260629,GS칼텍스,셀프,0,1889,1879,0
A0008724,경기 안성시,㈜시청앞주유소(한진주유소),경기 안성시 안성맞춤대로 926 (도기동),20260629,S-OIL,셀프,0,2059,2069,1650
A0003286,경기 안성시,㈜안일석유,경기 안성시 안성맞춤대로 1250 (당왕동),20260629,SK에너지,셀프,0,1998,1998,1650
A0003240,경기 안성시,㈜에스엠넷 직영 한강주유소,경기 안성시 죽산면 걸미로 169,20260629,GS칼텍스,일반,0,2024,2013,0
A0033749,경기 안성시,㈜펀오토워시주유소,경기 안성시  중앙대학로 389 (안성2동),20260629,S-OIL,셀프,2353,1893,1885,0
A0017485,경기 안성시,㈜푸른에너지산업,경기 안성시 대덕면 안성맞춤대로 1600,20260629,GS칼텍스,셀프,0,1995,1985,1550
A0007625,경기 안성시,개정주유소,경기 안성시 미양면 미양로 129,20260629,HD현대오일뱅크,셀프,0,1948,1938,0
A0002834,경기 안성시,계림주유소,경기 안성시 안성맞춤대로 841,20260629,HD현대오일뱅크,셀프,2398,1998,1995,0
A0003050,경기 안성시,관문주유소,경기 안성시 보개원삼로 146 (가사동),20260629,SK에너지,일반,0,2057,2057,0
A0000794,경기 안성시,굿모닝셀프주유소,경기 안성시 삼죽면 서동대로 6376,20260629,SK에너지,셀프,0,1869,1849,0
A0033067,경기 안성시,금강석유㈜ 안성대로주유소,경기 안성시 서운면 안성대로 88,20260629,HD현대오일뱅크,셀프,0,1985,1985,0
A0003307,경기 안성시,금광농협개산주유소,경기 안성시 금광면 외개산길 55,20260629,NH-OIL,셀프,0,2014,2009,1600
A0003304,경기 안성시,금광농협주유소,경기 안성시 금광면 진안로 1087,20260629,NH-OIL,셀프,0,2014,2009,1600
A0003529,경기 안성시,남북대로주유소,경기 안성시 양성면 남북대로 2035,20260629,HD현대오일뱅크,셀프,2454,1895,1885,1600
A0002808,경기 안성시,녹박재주유소,경기 안성시 죽산면 서동대로 6518,20260629,알뜰주유소,셀프,0,1869,1849,0
A0009544,경기 안성시,뉴타운주유소,경기 안성시 대덕면 중앙대학로 251,20260629,SK에너지,셀프,0,1895,1885,0
A0002812,경기 안성시,대림주유소,경기 안성시 공도읍 서동대로 4519,20260629,SK에너지,일반,0,2029,1999,1700
A0003399,경기 안성시,대보유통(주) 안성(서울)주유소/충전소,경기 안성시 경부고속도로 372-1,20260629,알뜰(ex),셀프,0,1864,1996,0
A0003036,경기 안성시,대흥주유소,경기 안성시 안성맞춤대로 1335 (금석동),20260629,GS칼텍스,일반,0,1968,1968,1500
A0002985,경기 안성시,더조은주유소,경기 안성시 공도읍 공도로 160,20260629,SK에너지,셀프,0,1983,1983,0
A0002858,경기 안성시,매산주유소,경기 안성시 죽산면 죽양대로 200,20260629,알뜰주유소,셀프,0,1869,1869,1600
A0003423,경기 안성시,명품주유소,경기 안성시 대덕면 안성맞춤대로 1523,20260629,S-OIL,셀프,0,1968,1968,1600
A0003186,경기 안성시,미리내주유소,경기 안성시 양성면 양성로 684,20260629,HD현대오일뱅크,셀프,0,1945,1939,0
A0002763,경기 안성시,미양,경기 안성시 미양면 미양로 463,20260629,S-OIL,셀프,0,2045,2045,1600
A0003303,경기 안성시,미양농협주유소,경기 안성시 미양면 미양로 62,20260629,NH-OIL,일반,0,2015,2015,1580
A0003312,경기 안성시,보개농협주유소,경기 안성시 보개면 보개원삼로 289,20260629,S-OIL,일반,0,2031,2029,1650
A0002857,경기 안성시,보개주유소,경기 안성시 보개면 서동대로 5816,20260629,S-OIL,셀프,0,1938,1879,0
A0002900,경기 안성시,부림주유소,경기 안성시 삼죽면 서동대로 5988,20260629,SK에너지,일반,0,2004,1993,1640
A0002854,경기 안성시,비룡주유소,경기 안성시 일죽면 죽양대로 530,20260629,S-OIL,셀프,0,1975,1925,0
A0024679,경기 안성시,비봉주유소 (주)자연에너지,경기 안성시 죽산면 서동대로 6617,20260629,HD현대오일뱅크,셀프,0,1869,1849,0
A0003290,경기 안성시,삼미상사(주) 서안성셀프주유소,경기 안성시 원곡면 남북대로 1106,20260629,SK에너지,셀프,0,1889,1879,0
A0002814,경기 안성시,삼미상사㈜ 옥산셀프주유소,경기 안성시 중앙로 162,20260629,SK에너지,셀프,0,1895,1885,1600
A0003421,경기 안성시,삼보주유소,경기 안성시 일죽면 죽양대로 505,20260629,GS칼텍스,일반,0,2028,2058,0
A0003302,경기 안성시,삼죽농협주유소,경기 안성시 삼죽면 삼백로 9,20260629,NH-OIL,일반,0,2009,2009,1550
A0002837,경기 안성시,삼죽주유소,경기 안성시 삼죽면 삼죽로 193,20260629,알뜰주유소,셀프,0,1869,1849,0
A0002917,경기 안성시,삼팔주유소,경기 안성시 일죽면 노성로 7-6,20260629,SK에너지,일반,0,2030,2030,0
A0003417,경기 안성시,서안성IC주유소,경기 안성시 양성면 남북대로 1916,20260629,S-OIL,셀프,0,1929,1919,0
A0003367,경기 안성시,서안성주유소,경기 안성시 보개면 서동대로 5623,20260629,S-OIL,셀프,0,1947,1947,0
A0003359,경기 안성시,선인에너지㈜ 선인주유소,경기 안성시 대덕면 안성대로 1532,20260629,S-OIL,셀프,0,1939,1939,0
A0003077,경기 안성시,성신주유소,경기 안성시 대덕면 만세로 222,20260629,S-OIL,셀프,0,1988,1988,1650
A0003403,경기 안성시,성원이앤에스(주)안성지점,경기 안성시 대덕면 안성대로 1284,20260629,GS칼텍스,일반,2479,2034,2023,0
A0002973,경기 안성시,성은주유소,경기 안성시 원곡면 천덕산로 545,20260629,GS칼텍스,일반,0,1994,1992,0
A0002833,경기 안성시,스카이주유소,경기 안성시 대덕면 서동대로 4891,20260629,SK에너지,셀프,0,2038,2035,1700
A0009749,경기 안성시,신공단주유소,경기 안성시 미양면 안성맞춤대로 419,20260629,SK에너지,셀프,0,1998,1998,1700
A0002915,경기 안성시,신창주유소,경기 안성시 고삼면 안성맞춤대로 1838,20260629,HD현대오일뱅크,셀프,0,1945,1948,1600
A0003415,경기 안성시,안성가득주유소,경기 안성시 보개원삼로 48,20260629,GS칼텍스,셀프,0,2045,2045,1750
A0002806,경기 안성시,안성맞춤주유소,경기 안성시 대덕면 중앙로 55,20260629,S-OIL,셀프,0,1987,1987,1650
A0014399,경기 안성시,안성셀프오일뱅크,경기 안성시 죽산면 걸미로 636,20260629,HD현대오일뱅크,셀프,0,2030,2029,0
A0033301,경기 안성시,양성농협주유소,경기 안성시 양성면 만세로 627,20260629,NH-OIL,일반,0,2019,2019,1550
A0007205,경기 안성시,연세석유(주) 동아대Self주유소,경기 안성시 삼죽면 서동대로 6351,20260629,GS칼텍스,셀프,0,1969,1949,1595
A0003047,경기 안성시,우리주유소,경기 안성시 서동대로 5082 (신소현동),20260629,HD현대오일뱅크,일반,0,1945,1945,0
A0003232,경기 안성시,운동장주유소,경기 안성시 보개면 양협길 4,20260629,GS칼텍스,셀프,0,1869,1849,1500
A0015631,경기 안성시,원곡산하주유소,경기 안성시 원곡면 삼봉로 708,20260629,HD현대오일뱅크,일반,0,1999,1997,1550
A0002901,경기 안성시,원곡주유소,경기 안성시 원곡면 만세로 1275,20260629,HD현대오일뱅크,일반,0,2027,2027,1700
A0003299,경기 안성시,원탑주유소,경기 안성시 양성면 남북대로 2038,20260629,HD현대오일뱅크,일반,0,1895,1935,0
A0002914,경기 안성시,은석주유소,경기 안성시 일죽면 사실로 335,20260629,GS칼텍스,일반,0,2059,2059,0
A0002831,경기 안성시,이죽주유소,경기 안성시 죽산면 죽주로 197,20260629,SK에너지,일반,0,2009,1998,1600
A0003208,경기 안성시,이화셀프주유소,경기 안성시 보개면 서동대로 5894,20260629,알뜰주유소,셀프,0,1989,1899,0
A0003244,경기 안성시,일죽IC주유소,경기 안성시 일죽면 서동대로 7159,20260629,S-OIL,셀프,2389,1979,1925,0
A0002909,경기 안성시,일죽주유소,경기 안성시 일죽면 서동대로 7381,20260629,S-OIL,셀프,0,1856,1856,0
A0003310,경기 안성시,죽산농협주유소,경기 안성시 죽산면 죽주로 159,20260629,GS칼텍스,일반,0,2009,2006,1600
A0002783,경기 안성시,중앙주유소,경기 안성시 대덕면 서동대로 4645,20260629,GS칼텍스,셀프,0,1985,1995,1700
A0002034,경기 안성시,청원로셀프주유소,경기 안성시 원곡면 청원로 1831,20260629,S-OIL,셀프,0,1895,1895,1599
A0002855,경기 안성시,충일주유소,경기 안성시 공도읍 서동대로 4405,20260629,HD현대오일뱅크,셀프,0,1920,1915,0
A0002999,경기 안성시,친환경주유소,경기 안성시 대덕면 만세로 43,20260629,SK에너지,일반,0,2045,2045,1950
A0000528,경기 안성시,칠곡IC주유소,경기 안성시 원곡면 만세로 991,20260629,GS칼텍스,셀프,0,1978,1978,1600
A0002863,경기 안성시,태광주유소,경기 안성시 원곡면 청원로 1786,20260629,SK에너지,일반,0,1939,1915,0
A0003204,경기 안성시,태산(구.명도주유소),경기 안성시 양성면 양성로 373,20260629,HD현대오일뱅크,셀프,0,2015,1959,0
A0002996,경기 안성시,평택석유직영 서안성주유소,경기 안성시 원곡면 남북대로 1033,20260629,HD현대오일뱅크,일반,0,1989,1949,1600
A0003314,경기 안성시,한국도로공사 안성(부산방향)주유소/충전소,경기 안성시 원곡면 경부고속도로 365,20260629,알뜰(ex),셀프,0,1833,1983,0
A0002785,경기 안성시,한길주유소 신도시점 한솔유화㈜,경기 안성시 서동대로 5046 (신소현동),20260629,S-OIL,셀프,0,1886,1877,0
A0003357,경기 안성시,한길주유소 안성점 한솔유화㈜,경기 안성시 대덕면 서동대로 5049,20260629,HD현대오일뱅크,셀프,0,1862,1848,0
A0003250,경기 안성시,한빛주유소,경기 안성시 대덕면 만세로 381,20260629,GS칼텍스,일반,0,1995,1995,1600
