번호,지역,상호,주소,기간,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0005555,경기 고양시,(주)원흥 고양동지점,경기 고양시 덕양구 호국로 1789,20260629,HD현대오일뱅크,셀프,2264,1844,1844,0
A0005266,경기 고양시,(주)원흥 원당동지점,경기 고양시 덕양구 호국로 1113,20260629,HD현대오일뱅크,셀프,2264,1844,1844,0
A0005463,경기 고양시,(주)원흥 원흥동지점,경기 고양시 덕양구 서오릉로 712 (원흥동),20260629,HD현대오일뱅크,셀프,2264,1844,1844,1500
A0005571,경기 고양시,(주)원흥 풍동지점,경기 고양시 일산동구 무궁화로 299 (풍동),20260629,HD현대오일뱅크,셀프,2264,1844,1844,0
A0005508,경기 고양시,(주)유성 화정점,경기 고양시 덕양구 호국로 624 (화정동),20260629,HD현대오일뱅크,셀프,0,1844,1844,0
A0005271,경기 고양시,(주)정발산 주유소,경기 고양시 일산동구 경의로 468 (정발산동),20260629,HD현대오일뱅크,셀프,2319,1894,1894,0
A0005611,경기 고양시,(주)주연덕이 셀프주유소,경기 고양시 일산서구 덕이로292번길 13(덕이동),20260629,HD현대오일뱅크,셀프,0,1999,1999,0
A0000663,경기 고양시,(주)창릉주유소,경기 고양시 덕양구 고양대로 1900 (동산동),20260629,GS칼텍스,셀프,2411,1971,1963,0
A0005524,경기 고양시,(주)한미석유 덕이동주유소,경기 고양시 일산서구 덕이로 174 (덕이동),20260629,GS칼텍스,일반,0,1895,1865,0
A0005574,경기 고양시,(주)해진 구도일주유소 일산지점,경기 고양시 일산동구 백마로 36 (장항동),20260629,S-OIL,셀프,2459,1974,1974,0
A0009164,경기 고양시,(주)헨지스에너지직영 세이버주유소,경기 고양시 덕양구 화랑로 124 (화전동),20260629,HD현대오일뱅크,일반,0,1999,1999,1600
A0005110,경기 고양시,GS칼텍스 상암주유소,경기 고양시 덕양구 자유로 38 (덕은동),20260629,GS칼텍스,셀프,2536,2057,2047,0
A0005495,경기 고양시,HD현대오일뱅크㈜직영 백석동셀프주유소,경기 고양시 일산동구 일산로 144 (백석동),20260629,HD현대오일뱅크,셀프,2386,1849,1849,0
A0005438,경기 고양시,HD현대오일뱅크㈜직영 일산가좌셀프주유소,경기 고양시 일산서구 동서대로 352,20260629,HD현대오일뱅크,셀프,2290,1897,1887,1595
A0005509,경기 고양시,HD현대오일뱅크㈜직영 장항IC셀프주유소,경기 고양시 일산동구 백마로 56,20260629,HD현대오일뱅크,셀프,2349,1922,1903,0
A0005493,경기 고양시,HD현대오일뱅크㈜직영 화정셀프주유소,경기 고양시 덕양구 화중로 38 (화정동),20260629,HD현대오일뱅크,셀프,2433,2008,2003,0
A0011920,경기 고양시,JK에너지 직영 말달리자,경기 고양시 덕양구 통일로 226,20260629,HD현대오일뱅크,셀프,2430,1998,1990,0
